6,4,4,40,1024,0.00156006s
10,200,200,40,1024,0.0167728s
50,1000,1000,40,1024,0.266504s
50,5000,5000,40,1024,2.58743s
50,10000,10000,40,1024,11.1022s
6,4,4,32,1024,0.00124986s
10,200,200,32,1024,0.0107881s
50,1000,1000,32,1024,0.170811s
50,5000,5000,32,1024,2.68514s
50,10000,10000,32,1024,11.6762s
6,4,4,16,1024,0.00122097s
10,200,200,16,1024,0.0112853s
50,1000,1000,16,1024,0.177315s
50,5000,5000,16,1024,3.10153s
50,10000,10000,16,1024,15s
6,4,4,8,1024,0.00122872s
10,200,200,8,1024,0.0113686s
50,1000,1000,8,1024,0.203868s
50,5000,5000,8,1024,4.26543s
50,10000,10000,8,1024,22.3112s
6,4,4,4,1024,0.00125873s
10,200,200,4,1024,0.0120664s
50,1000,1000,4,1024,0.250346s
50,5000,5000,4,1024,6.27492s
50,10000,10000,4,1024,36.7129s
6,4,4,1,1024,0.0015102s
10,200,200,1,1024,0.0184601s
50,1000,1000,1,1024,0.566746s
50,5000,5000,1,1024,18.774s
50,10000,10000,1,1024,121.691s
